Number,Class,Owner,Operator,PoolCode,Livery,Depot,Formation,Name,PreservedAt,StoredAt,YearBuilt,WorksNumber
87021,87,,,,,,,,,,,
87022,87,,BZK (Bulgaria),,BZK blue,,,,,,,
87023,87,,Bulmarket (Bulgaria),,"Europhoenix silver, red & blue with Bulmarket logos",,,Velocity,,,,
87024,87,,,,,,,,,,,
87025,87,,Bulmarket (Bulgaria),,BZK black & red,,,,,,,
87026,87,,BZK (Bulgaria),,BZK yellow & dark green,,,,,,,
87027,87,,,,,,,,,,4/5/74,
87028,87,,BZK (Bulgaria),,BZK blue,,,,,,,
87029,87,,BZK (Bulgaria),,BZK yellow & dark green,,,,,,,
87030,87,,,,,,,,,,,
87031,87,,,,,,,,,,,
87032,87,,,,,,,,,,,
87033,87,,BZK (Bulgaria),,BZK yellow & dark green,,,,,,,
87034,87,,BZK (Bulgaria),,BZK yellow & dark green,,,,,,,
87035,87,,Crewe Heritage Centre,MBEL,BR Blue,,,Robert Burns,Crewe Basford Hall,,1974,
87101,87,,,,,,,,,,1975,
12801,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12802,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12803,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12804,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12805,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12806,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12807,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12808,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12809,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12810,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12811,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12812,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12813,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",Longsight - CAF depot / Manchester International Depot (LC),,,,,2018,
12814,TPE Mk5a DTSO,,TransPennine Express (First),,"TPE silver, blue & purple",,,,,Longsight - CAF depot / Manchester International Depot (LC),2018,
88001,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Revolution,,,2014,2851
88002,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Prometheus,,,2014,2852
88003,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Genesis,,,2014,2853
88004,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Pandora,,,2014,2854
88005,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Minerva,,,2014,2855
88006,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Juno,,,2014,2856
88007,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Electra,,,2014,2857
88008,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Ariadne,,,2014,2858
88009,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Diana,,,2014,2859
88010,88,,Direct Rail Services (DRS),XHVE,DRS blue,Carlisle Kingmoor TMD (KM),,Aurora,,,2014,2860
89001,89,AC Locomotive Group,AC Locomotive Group,ACAC,Intercity Swallow,,,Avocet,Soho Depot (SI),,1986,BEM875
D3000,08,Private Owner,Harry Needle Railroad Company,,Black,,,,Worksop HNRC,,1952,
D3001,08,,,,,,,,,,1952,
D3002,08,Plym Valley Railway,Plym Valley Railway,,BR Black (Early Crest),,,,PVR,,1952,
D3003,08,,,,,,,,,,,
08001,08,,,,,,,,,,,
08002,08,,,,,,,,,,,
966507,08,,,,,,,,,,,
08003,08,,,,,,,,,,,
08004,08,,,,,,,,,,,
08005,08,,,,,,,,,,,
08006,08,,,,,,,,,,,
D3011,08,,,,,,,,,,,
08007,08,,,,,,,,,,,
D3013,08,,,,,,,,,,,
D3014,08,Dart Valley Railway plc,Dartmouth Steam Railway,,BR Green,,,,Dartmouth Steam Railway,,1952,
08008,08,,,,,,,,,,,
08009,08,,,,,,,,,,,
08010,08,,,,,,,,,,1953,
D3018,08,Chinnor and Princess Risborough Railway Association,Chinnor & Princes Risborough Railway,,Green,,,HAVERSHAM,Chinnor & Princes Risborough Railway,,1952,
D3019,08,Cambrian Railways Trust,Cambrian Heritage Railways,,Grey undercoat,,,,Llynclys,,1952,
08013,08,,,,,,,,,,,
08014,08,,,,,,,,,,,
D3022,08,Class 08 Society,Severn Valley Railway,,BR Green,,,,Severn Valley Railway,,1953,
08016,08,Heritage Shunters Trust,Heritage Shunters Trust (at Peak Rail),,BR Blue,,,,"Rowsley, HST",,1953,
08017,08,,,,,,,,,,,
08018,08,,,,,,,,,,,
D3026,08,,,,,,,,,,,
08019,08,,,,,,,,,,,
08020,08,,,,,,,,,,,
13029,08,Birmingham Railway Museum Trust,Tyseley Locomotive Works / Vintage Trains,,BR Black (Early Crest),,,,Tyseley,,1953,
08022,08,Cholsey & Wallingford Railway,Cholsey & Wallingford Railway,,Black with Guinness logos,,,Lion,Cholsey & Wallingford Railway,,1953,
08023,08,,,,,,,,,,,
08024,08,,,,,,,,,,,
08025,08,,,,,,,,,,,
D3034,08,,,,,,,,,,,
966508,08,,,,,,,,,,,
08026,08,,,,,,,,,,,
966510,08,,,,,,,,,,1953,
D3038,08,,,,,,,,,,,
08027,08,,,,,,,,,,,
08028,08,,,,,,,,,,,
08029,08,,,,,,,,,,,
08030,08,,,,,,,,,,,
08031,08,,,,,,,,,,,
08032,08,,Watercress Line / Mid Hants Railway,,Yeoman blue,,,Mendip,MHR,,1954,
08033,08,,,,,,,,,,1954,
08034,08,,,,,,,,,,,
08035,08,,,,,,,,,,,
08036,08,,,,,,,,,,,
08037,08,,,,,,,,,,,
08038,08,,,,,,,,,,,
08039,08,,,,,,,,,,,
08040,08,,,,,,,,,,,
08041,08,,,,,,,,,,,
08042,08,,,,,,,,,,,
08043,08,,,,,,,,,,,
08044,08,,,,,,,,,,,
08045,08,,,,,,,,,,,
13059,08,Caledonian Railway Preservation Group,Caledonian Railway,,BR Blue,,,Brechin City,Caledonian Railway,,1954,
08047,08,,,,,,,,,,,
968017,08,,,,,,,,,,,
08049,08,,,,,,,,,,,
08050,08,,,,,,,,,,,
08051,08,,,,,,,,,,,
08052,08,,,,,,,,,,,
08053,08,,,,,,,,,,1953,
08054,08,Private Owner,Embsay and Bolton Abbey Steam Railway,,BR Blue,,,,Embsay & Bolton Abbey Railway,,1954,
08055,08,,,,,,,,,,,
08056,08,,,,,,,,,,,
08057,08,,,,,,,,,,,
08058,08,,,,,,,,,,,
08059,08,,,,,,,,,,,
08060,08,Cholsey & Wallingford Railway,Cholsey & Wallingford Railway,,Black with Guinness logos,,,Unicorn,Cholsey & Wallingford Railway,,1954,
08061,08,,,,,,,,,,,
08062,08,,,,,,,,,,,
08063,08,,,,,,,,,,,
13079,08,National Railway Museum,Locomotion (NRM Shildon),,BR Black (Early Crest),,,,"Locomotion, Shildon",,1953,
968018,08,,,,,,,,,,,
968019,08,,,,,,,,,,,
08067,08,,,,,,,,,,,
08068,08,,,,,,,,,,,
08069,08,,,,,,,,,,,
966509,08,,,,,,,,,,,
08070,08,,,,,,,,,,,
08071,08,,,,,,,,,,,
08072,08,,,,,,,,,,,
08073,08,,,,,,,,,,,
08074,08,,,,,,,,,,,
08075,08,,,,,,,,,,,
08076,08,,,,,,,,,,,
D3092,08,,,,,,,,,,,
D3093,08,,,,,,,,,,,
D3094,08,,,,,,,,,,,
D3095,08,,,,,,,,,,,
D3096,08,,,,,,,,,,,
D3097,08,,,,,,,,,,,
D3098,08,,,,,,,,,,,
D3099,08,,,,,,,,,,,
D3100,08,,,,,,,,,,,
13101,08,Private Owner,Great Central Railway,,BR Green,,,,GCR,,1955,
08077,08,,,,,,,,,,,
08078,08,,,,,,,,,,,
966506,08,,,,,,,,,,,
08079,08,,,,,,,,,,,
08080,08,,,,,,,,,,,
08081,08,,,,,,,,,,,
08082,08,,,,,,,,,,,
08083,08,,,,,,,,,,,
08084,08,,,,,,,,,,,
08085,08,,,,,,,,,,,
08086,08,,,,,,,,,,,
08087,08,,,,,,,,,,,
08088,08,,,,,,,,,,,
08089,08,,,,,,,,,,,
08090,08,,,,,,,,,,,
08091,08,,,,,,,,,,,
08092,08,,,,,,,,,,,
08093,08,,,,,,,,,,,
08094,08,,,,,,,,,,,
08095,08,,,,,,,,,,,
08096,08,,,,,,,,,,,
08097,08,,,,,,,,,,,
08098,08,,,,,,,,,,,
08099,08,,,,,,,,,,,
08100,08,,,,,,,,,,,
08101,08,,,,,,,,,,,
D3167,08,Lincoln City Council,Lincolnshire Wolds Railway,,BR Green,,,,Lincolnshire Wolds Railway,,1955,
08103,08,,,,,,,,,,,
08104,08,,,,,,,,,,,
08105,08,,,,,,,,,,1955,Built Derby Works 1955
08106,08,,,,,,,,,,,
D3172,08,,,,,,,,,,,
08107,08,,,,,,,,,,,
D3174,08,Kent & East Sussex Railway,Kent & East Sussex Railway,,Black,,,Dover Castle,Kent & East Sussex Railway,,1955,
08109,08,,,,,,,,,,,
08110,08,,,,,,,,,,,
968012,08,,,,,,,,,,,
08112,08,,,,,,,,,,,
08113,08,,,,,,,,,,,
08114,08,English Electric Preservation,Great Central Railway (Nottingham),,BR Blue,,,GOTHAM,"Ruddington, GCR",,1955,
08115,08,,,,,,,,,,,
08116,08,,,,,,,,,,,
968010,08,,,,,,,,,,,
08118,08,,,,,,,,,,,
968011,08,,,,,,,,,,,
08120,08,,,,,,,,,,,
08121,08,,,,,,,,,,,
08122,08,,,,,,,,,,,
08123,08,Cholsey & Wallingford Railway,Cholsey & Wallingford Railway,,BR Green,,,George Mason,Cholsey & Wallingford Railway,,1955,
08124,08,,,,,,,,,,,
08125,08,,,,,,,,,,,
08126,08,,,,,,,,,,,
08127,08,,,,,,,,,,,
08128,08,,,,,,,,,,,
08129,08,,,,,,,,,,,
08130,08,,,,,,,,,,,
08131,08,,,,,,,,,,,
08132,08,,,,,,,,,,,
D3201,08,Class 08 Society,Severn Valley Railway,,BR Green,,,,Severn Valley Railway,,1955,
08134,08,,,,,,,,,,,
08135,08,,,,,,,,,,,
08136,08,,,,,,,,,,,
08137,08,,,,,,,,,,,
08138,08,,,,,,,,,,,
08139,08,,,,,,,,,,,
08140,08,,,,,,,,,,,
08141,08,,,,,,,,,,,
08142,08,,,,,,,,,,,
08143,08,,,,,,,,,,,
08144,08,,,,,,,,,,,
08145,08,,,,,,,,,,,
08146,08,,,,,,,,,,,
08147,08,,,,,,,,,,,
08148,08,,,,,,,,,,,
08149,08,,,,,,,,,,,
08150,08,,,,,,,,,,,
08151,08,,,,,,,,,,,
08152,08,,,,,,,,,,,
08153,08,,,,,,,,,,,
08154,08,,,,,,,,,,,
08155,08,,,,,,,,,,,
08156,08,,,,,,,,,,,
08157,08,,,,,,,,,,1955,
08158,08,,,,,,,,,,,
08159,08,,,,,,,,,,,
08160,08,,,,,,,,,,,
08161,08,,,,,,,,,,,
08162,08,,,,,,,,,,,
08163,08,,,,,,,,,,,
08164,08,Private Owner,East Lancashire Railway,,BR Blue,,,Prudence,East Lancashire Railway,,1955,
08165,08,,,,,,,,,,,
08166,08,,,,,,,,,,,
08167,08,,,,,,,,,,,
13236,08,Nemesis Rail Ltd,Nemesis Rail,,BR Green,,,,Burton-on-Trent - Nemesis Rail (BO),,1955,
08169,08,,,,,,,,,,,
08170,08,,,,,,,,,,,
08171,08,,,,,,,,,,,
08172,08,,,,,,,,,,,
08173,08,,,,,,,,,,,
08174,08,,,,,,,,,,,
08175,08,,,,,,,,,,,
08176,08,,,,,,,,,,,
08177,08,,,,,,,,,,,
08178,08,,,,,,,,,,,
08179,08,,,,,,,,,,,
08180,08,,,,,,,,,,,
08181,08,,,,,,,,,,,
08182,08,,,,,,,,,,,
08183,08,,,,,,,,,,,
08184,08,,,,,,,,,,,
08185,08,,,,,,,,,,,
D3255,08,Private Owner,* Preserved - North East,,Blue,,,,"Leavening, North Yorkshire",,1955,
08186,08,,,,,,,,,,,
08187,08,,,,,,,,,,,
08188,08,,,,,,,,,,,
08189,08,,,,,,,,,,,
08190,08,,,,,,,,,,,
08191,08,,,,,,,,,,,
D3261,08,Private Owner,Swindon Cricklade Railway,,BR Green,,,,Swindon & Cricklade Railway,,1956,
08192,08,,,,,,,,,,,
08193,08,,,,,,,,,,,
08194,08,,,,,,,,,,,
13265,08,Llangollen Railway Trust,Llangollen Railway,,BR Black,,,,Llangollen Railway,,1955,
08196,08,,,,,,,,,,,
08197,08,,,,,,,,,,,
08198,08,,,,,,,,,,,
08199,08,,,,,,,,,,,
08200,08,,,,,,,,,,,
08201,08,,,,,,,,,,,
08202,08,Private Owner,Avon Valley Railway,,BR Blue,,,,Avon Valley Railway,,1955,
08204,08,,,,,,,,,,,
08205,08,,,,,,,,,,,
08206,08,,,,,,,,,,,
08207,08,,,,,,,,,,,
08208,08,,,,,,,,,,,
08209,08,,,,,,,,,,,
08210,08,,,,,,,,,,,
08211,08,,,,,,,,,,,
08212,08,,,,,,,,,,,
08213,08,,,,,,,,,,,
08214,08,,,,,,,,,,,
08215,08,,,,,,,,,,,
08216,08,,,,,,,,,,1956,Derby Works 1956
08217,08,,,,,,,,,,,
08218,08,,,,,,,,,,,
08219,08,,,,,,,,,,,
08220,08,English Electric Preservation,Great Central Railway (Nottingham),,BR Blue,,,,Ruddington,,1956,
08221,08,,,,,,,,,,,
08222,08,,,,,,,,,,,
08223,08,,,,,,,,,,,
08224,08,,,,,,,,,,,
08225,08,,,,,,,,,,,
08226,08,,,,,,,,,,,
08227,08,,,,,,,,,,,
08228,08,,,,,,,,,,,
08229,08,,,,,,,,,,,
08230,08,,,,,,,,,,,
08231,08,,,,,,,,,,,
08232,08,,,,,,,,,,,
08233,08,,,,,,,,,,,
08234,08,,,,,,,,,,,
08235,08,,,,,,,,,,,
08236,08,,,,,,,,,,,
08237,08,,,,,,,,,,,
08238,08,Private Owner,Dean Forest Railway,,BR Blue,,,Charlie,Dean Forest Railway,,1956,
08239,08,,,,,,,,,,,
08240,08,,,,,,,,,,,
08241,08,,,,,,,,,,,
08242,08,,,,,,,,,,,
08243,08,,,,,,,,,,,
08244,08,,,,,,,,,,,
08245,08,,,,,,,,,,,
08246,08,,,,,,,,,,,
08247,08,,,,,,,,,,,
08248,08,,,,,,,,,,,
08249,08,,,,,,,,,,,
08250,08,,,,,,,,,,,
08251,08,,,,,,,,,,,
08252,08,,,,,,,,,,,
08253,08,,,,,,,,,,,
08254,08,,,,,,,,,,,
08255,08,,,,,,,,,,,
08256,08,,,,,,,,,,,
08257,08,,,,,,,,,,,
08258,08,,,,,,,,,,,
08260,08,,,,,,,,,,,
08261,08,,,,,,,,,,,
08262,08,,,,,,,,,,,
08263,08,,,,,,,,,,,
08264,08,,,,,,,,,,,
08265,08,,,,,,,,,,,
08266,08,Keighley & Worth Valley Railway Society,Keighley & Worth Valley Railway,,Departmental grey,,,,Keighley & Worth Valley Railway,,1956,
08267,08,,,,,,,,,,,
08268,08,,,,,,,,,,,
08269,08,,,,,,,,,,,
08270,08,,,,,,,,,,,
08271,08,,,,,,,,,,,
08272,08,,,,,,,,,,,
08273,08,,,,,,,,,,,
08274,08,,,,,,,,,,,
08275,08,,,,,,,,,,,
08276,08,,,,,,,,,,,
08277,08,,,,,,,,,,,
08278,08,,,,,,,,,,,
08279,08,,,,,,,,,,,
08280,08,,,,,,,,,,,
08281,08,,,,,,,,,,,
08282,08,,,,,,,,,,,
08283,08,,,,,,,,,,,
08284,08,,,,,,,,,,,
08285,08,,,,,,,,,,,
08286,08,,,,,,,,,,,
08287,08,,,,,,,,,,,
D3358,08,Mid Hants Railway Preservation Society,Watercress Line / Mid Hants Railway,,BR Black (Early Crest),,,,Mid Hants Railway,,1952,
08289,08,,,,,,,,,,,
08290,08,,,,,,,,,,,
08291,08,,,,,,,,,,,
08292,08,,,,,,,,,,,
08293,08,,,,,,,,,,,
08294,08,,,,,,,,,,,
08295,08,,,,,,,,,,,
08296,08,Mendip Rail Ltd,Hanson Aggregates,,Blue,,,,,,1956,
08297,08,,,,,,,,,,,
08298,08,,,,,,,,,,,
08299,08,,,,,,,,,,,
08300,08,,,,,,,,,,,
08301,08,,,,,,,,,,,
08302,08,,,,,,,,,,,
08303,08,,,,,,,,,,,
08304,08,,,,,,,,,,,
08305,08,,,,,,,,,,,
08306,08,,,,,,,,,,,
08307,08,,,,,,,,,,,
08308,08,RMS Locotec,RMS Locotec (BARS),RMSX,Blue & silver,,,,,,1956,
08309,08,,,,,,,,,,,
08310,08,,,,,,,,,,,
08311,08,,,,,,,,,,,
08312,08,,,,,,,,,,,
08313,08,,,,,,,,,,,
08314,08,,,,,,,,,,,
08315,08,,,,,,,,,,,
08316,08,,,,,,,,,,,
08317,08,,,,,,,,,,,
08318,08,,,,,,,,,,,
08319,08,,,,,,,,,,,
08320,08,,,,,,,,,,,
08321,08,,,,,,,,,,,
08322,08,,,,,,,,,,,
08323,08,,,,,,,,,,,
08324,08,,,,,,,,,,,
08325,08,,,,,,,,,,,
08326,08,,,,,,,,,,,
08327,08,,,,,,,,,,,
08328,08,,,,,,,,,,,
08329,08,,,,,,,,,,,
08330,08,,,,,,,,,,,
08331,08,Princess Royal Class Locomotive Trust,The Midland Railway - Butterley,MOLO,Black,,,,Midland Railway-Butterley,,1957,
08332,08,,,,,,,,,,,
08333,08,,,,,,,,,,,
08334,08,,,,,,,,,,,
08335,08,,,,,,,,,,,
08336,08,,,,,,,,,,,
08337,08,,,,,,,,,,,
08338,08,,,,,,,,,,,
08339,08,,,,,,,,,,,
08340,08,,,,,,,,,,,
08341,08,,,,,,,,,,,
08342,08,,,,,,,,,,,
08343,08,,,,,,,,,,,
08344,08,,,,,,,,,,,
08345,08,,,,,,,,,,,
08346,08,,,,,,,,,,,
08347,08,,,,,,,,,,,
08348,08,,,,,,,,,,,
08349,08,,,,,,,,,,1957,
08350,08,,,,,,,,,,,
08351,08,,,,,,,,,,,
08352,08,,,,,,,,,,,
08353,08,,,,,,,,,,,
08354,08,,,,,,,,,,,
08355,08,,,,,,,,,,,
08356,08,,,,,,,,,,,
08357,08,,,,,,,,,,,
08358,08,,,,,,,,,,,
08359,08,Private Owner,Chasewater Railway,,BR Blue,,,,Chasewater Railway,,1957,
08360,08,,,,,,,,,,,
08361,08,,,,,,,,,,,
08362,08,,,,,,,,,,,
08363,08,,,,,,,,,,,
08364,08,,,,,,,,,,,
08365,08,,,,,,,,,,,
08366,08,,,,,,,,,,,
08367,08,,,,,,,,,,,
08368,08,,,,,,,,,,,
08369,08,,,,,,,,,,,
08370,08,,,,,,,,,,,
08371,08,,,,,,,,,,,
08372,08,,,,,,,,,,,
08373,08,,,,,,,,,,,
08374,08,,,,,,,,,,,
08375,08,,RMS Locotec (BARS),MBDL,RMS Locotec blue & grey,,,,,,1957,
08376,08,,,,,,,,,,,
08377,08,Mid Hants Railway Preservation Society,Watercress Line / Mid Hants Railway,,BR Green,,,,Mid Hants Railway,,1957,
08378,08,,,,,,,,,,,
08379,08,,,,,,,,,,,
08380,08,,,,,,,,,,,
08381,08,,,,,,,,,,1957,
08382,08,,,,,,,,,,,
08383,08,,,,,,,,,,,
08384,08,,,,,,,,,,,
08385,08,,,,,,,,,,,
08386,08,,,,,,,,,,,
08387,08,,,,,,,,,,,
08388,08,,,,,,,,,,,
08389,08,HNRail,Harry Needle Railroad Company,HNRS,maroon with yellow stripe (ex EWS),,,,,,1957,
08390,08,,,,,,,,,,,
08391,08,,,,,,,,,,,
08392,08,,,,,,,,,,,
08393,08,Hunslet,,,,,,,,,,
08394,08,,,,,,,,,,,
08395,08,,,,,,,,,,,
08396,08,,,,,,,,,,,
08397,08,,,,,,,,,,,
08398,08,,,,,,,,,,,
08399,08,,,,,,,,,,,
08400,08,,,,,,,,,,,
08401,08,Hunslet,Hunslet Engine Company,,Green with HEC logo,,,,,"LH Group, Barton-under-Needwood",1958,
08402,08,,,,,,,,,,,
08403,08,,,,,,,,,,,
08404,08,,,,,,,,,,,
08405,08,Railway Support Services,Railway Support Services,MBDL,EWS red & yellow,,,,,,1958,
08406,08,,,,,,,,,,,
08407,08,,,,,,,,,,,
08408,08,,,,,,,,,,,
08409,08,,,,,,,,,,,
08410,08,A V Dawson Ltd,A V Dawson,MBDL,BR Green,,,,,,1958,
08411,08,Railway Support Services,Railway Support Services,MBDL,BR blue,,,,,Wishaw,1958,
08412,08,,,,,,,,,,,
08413,08,,,,,,,,,,,
08414,08,,,,,,,,,,,
08415,08,,,,,,,,,,,
08416,08,,,,,,,,,,,
08417,08,Network Rail,Network Rail,QADD,Yellow,,,,,Derby RTC (ZA),1958,
08418,08,West Coast Railways,West Coast Railways (WCR),,EWS red & yellow,,,,,,1958,
08419,08,,,,,,,,,,,
08420,08,,,,,,,,,,,
08422,08,,,,,,,,,,,
08423,08,RMS Locotec,PD Ports,,RMS blue & grey,,,,,,1958,
08424,08,,,,,,,,,,,
08425,08,,,,,,,,,,,
08426,08,,,,,,,,,,,
08427,08,,,,,,,,,,,
08428,08,HNRail,Harry Needle Railroad Company,HNRL,EWS red & yellow,,,,,Barrow Hill (BH),1958,
08429,08,,,,,,,,,,,
08430,08,,,,,,,,,,,
08431,08,,,,,,,,,,1958,
08432,08,,,,,,,,,,,
08433,08,,,,,,,,,,,
08434,08,,,,,,,,,,,
08435,08,,,,,,,,,,,
08436,08,Swanage Railway Company Ltd,Swanage Railway,,BR lined black,,,,Swanage Railway,,1958,
08437,08,,,,,,,,,,,
08438,08,,,,,,,,,,,
08439,08,,,,,,,,,,,
08440,08,,,,,,,,,,,
08441,08,Railway Support Services,Railway Support Services,MBDL,Dark grey with red solebar and RSS logos,,,,,,1958,
08442,08,Arriva UK,Arriva TrainCare (ex LNWR),,Two-tone grey,,,,,Eastleigh TMD (EH),1958,
D3558,08,Scottish Railway Preservation Society,Bo'ness & Kinneil Railway,,BR Green,,,,Bo'ness & Kinneil Railway,,1958,
08444,08,Bodmin & Wenford Railway Trust,Bodmin & Wenford Railway,,BR Green,,,,Bodmin & Wenford Railway,,1958,
08445,08,Hunslet,Hunslet Engine Company,,"Yellow, blue & green",,,,,,1958,
08446,08,,,,,,,,,,,
08447,08,J G Russell Ltd,Deanside Transit,,Purple,,,,,,1958,
08448,08,,,,,,,,,,,
08449,08,,,,,,,,,,,
08450,08,,,,,,,,,,,
08451,08,Alstom,Alstom,ATZZ,BR blue,,,Longsight TMD,,,1958,
08452,08,,,,,,,,,,,
08453,08,,,,,,,,,,,
08454,08,Alstom,Alstom,ATLO,BR Blue,,,,,,1958,
08455,08,,,,,,,,,,,
08456,08,,,,,,,,,,,
08457,08,,,,,,,,,,,
08458,08,,,,,,,,,,,
08459,08,,,,,,,,,,,
08460,08,Railway Support Services,Railway Support Services,MBDL,Dark grey with red solebar and RSS logo,,,SPIRIT OF THE OAK,,,1958,
08461,08,,,,,,,,,,,
08463,08,,,,,,,,,,,
08464,08,,,,,,,,,,,
08465,08,,,,,,,,,,,
08466,08,,,,,,,,,,,
08467,08,,,,,,,,,,,
08468,08,,,,,,,,,,,
08469,08,,,,,,,,,,,
08470,08,,,,,,,,,,,
D3586,08,Severn Valley Railway plc,Severn Valley Railway,,Green with red solebar,,,,Severn Valley Railway,,1958,
08472,08,Wabtec Rail Ltd,Wabtec Rail,RFSH,Black,,,,,,1958,
08473,08,Dean Forest Diesel Association,Dean Forest Railway,,BR Blue,,,,Dean Forest Railway,,1958,
08474,08,,,,,,,,,,,
08475,08,,,,,,,,,,,
08476,08,Swanage Railway Company Ltd,Swanage Railway,,BR Olive Green,,,,Swanage Railway,,1958,
08477,08,,,,,,,,,,,
08478,08,,,,,,,,,,,
13594,08,ELR Bury Diesel Group,East Lancashire Railway,,BR Black (Early Crest),,,,East Lancashire Railway,,1959,
08480,08,Railway Support Services,Railway Support Services,MBDL,Dark grey with red solebar and RSS logo,,,,,,1958,
08481,08,,,,,,,,,,,
08482,08,,,,,,,,,,,
08483,08,Locomotive Services Limited,Locomotive Services Ltd,LSLS,BR Black (Early Crest),,,Bungle,,,1958,
08484,08,Railway Support Services,Railway Support Services,MBDL,Dark grey with red solebar and RSS logo,,,Captain Nathaniel Darell,,,1958,
08485,08,West Coast Railways,West Coast Railways (WCR),,BR blue,,,,,,1958,
08486,08,,,,,,,,,,,
08487,08,,,,,,,,,,,
08488,08,,,,,,,,,,,
08489,08,,,,,,,,,,,
D3605,08,Strathspey Railway,Strathspey Railway,,BR Green,,,,Strathspey Railway,,1958,
08491,08,,,,,,,,,,,
08492,08,,,,,,,,,,,
08493,08,,,,,,,,,,,
08494,08,,,,,,,,,,,
08495,08,Private Owner,North Yorkshire Moors Railway,,BR Blue,,,,North Yorkshire Moors Railway,,1958,
08496,08,,,,,,,,,,,
08497,08,,,,,,,,,,,
08498,08,,,,,,,,,,,
08499,08,Pullman Rail,Pullman Rail,,BR Blue,,,Redlight,,,1958,
08500,08,HNRail,Harry Needle Railroad Company,HNRL,EWS red & yellow,,,,,Burton-on-Trent - Nemesis Rail (BO),1958,
08501,08,,,,,,,,,,,
08502,08,HNRail,Harry Needle Railroad Company,HNRL,Blue,,,,East Kent Railway,,1958,
08503,08,Barry Tourist Railway,Barry Tourist Railway,HNRL,Light blue with red solebar,,,,Barry Tourist Railway,,1958,
08504,08,,,,,,,,,,,
08505,08,,,,,,,,,,,
08506,08,,,,,,,,,,,
08507,08,Riviera Trains,Riviera Trains,RTSO,Blue,,,Hannah,,,1958,
08508,08,,,,,,,,,,,
08509,08,,,,,,,,,,,
08510,08,,,,,,,,,,1958,
08511,08,Railway Support Services,Railway Support Services,MBDL,Dark grey with red solebar and RSS logo,,,,,,1958,
08512,08,,,,,,,,,,,
08513,08,,,,,,,,,,,
08514,08,,,,,,,,,,,
08515,08,,,,,,,,,,,
08516,08,Arriva UK,Arriva TrainCare (ex LNWR),,Two-tone grey with red solebar,Bristol Barton Hill,,,,,1958,
08517,08,,,,,,,,,,,
08518,08,,,,,,,,,,,
08519,08,,,,,,,,,,,
08520,08,,,,,,,,,,1958,
08521,08,,,,,,,,,,,
08522,08,,,,,,,,,,,
08523,08,RMS Locotec,RMS Locotec (BARS),RMSX,RMS Locotec blue & grey,,,,,Weardale Railway,1958,
08524,08,,,,,,,,,,,
08525,08,Maintrain Ltd,East Midlands Railway,EMSL,"EMT white, blue, red & orange",,,Duncan Bedford,,,1959,
08526,08,,,,,,,,,,,
08527,08,HNRail,Harry Needle Railroad Company,HNRL,Black & Grey,,,,,,1959,
